"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"Gene"
0	1.37006860564689	0.993	0.939	0	"FABP7"
0	1.28676694032283	0.977	0.888	0	"SPARCL1"
0	1.24406815043779	0.979	0.894	0	"EDNRB"
0	1.24031247825885	0.972	0.899	0	"MT3"
0	1.18701132488235	1	0.972	0	"CLU"
0	1.16422949705866	0.994	0.914	0	"TTYH1"
0	1.1475698236327	0.964	0.861	0	"BCAN"
0	1.12982508103587	0.999	0.993	0	"PTN"
0	1.12388467321942	0.999	0.985	0	"C1orf61"
0	1.05903480488557	0.966	0.843	0	"SAT1"
0	1.03326870803625	0.894	0.86	0	"S100B"
0	1.02076892746871	1	0.972	0	"GPM6B"
0	0.982395334708655	0.967	0.87	0	"SLC1A3"
0	0.918631836231437	0.981	0.906	0	"NTRK2"
0	0.856963727149503	0.973	0.903	0	"B2M"
0	0.843563703434057	0.975	0.938	0	"DBI"
0	0.804155488544795	0.962	0.911	0	"MGST1"
0	0.784941484502837	0.811	0.838	0	"PMP2"
0	0.782418867678386	0.973	0.903	0	"QKI"
0	0.781389055006958	0.982	0.891	0	"IFI27L2"
0	0.775439568197555	0.92	0.813	0	"FABP5"
0	0.766259243401266	0.854	0.88	0	"PTGDS"
0	0.754347260858534	0.861	0.843	0	"PI15"
0	0.739205896571987	0.966	0.908	0	"PEA15"
0	0.724946986659445	0.964	0.894	0	"CST3"
0	0.724401644856851	0.959	0.866	0	"SPARC"
0	0.703186869267149	0.974	0.907	0	"HES4"
0	0.701150931623962	1	0.985	0	"VIM"
0	0.6941448583985	0.872	0.862	0	"IFI6"
0	0.68183629717123	0.938	0.771	0	"ID4"
0	0.664707991990152	0.973	0.9	0	"FAM213A"
0	0.653707299786232	0.951	0.754	0	"NPC2"
0	0.65129144975501	0.92	0.846	0	"NDRG4"
0	0.647035566928994	0.924	0.864	0	"DDAH1"
0	0.641616636333939	0.978	0.886	0	"NEAT1"
0	0.641527434826486	0.903	0.856	0	"S100A16"
0	0.639859883781755	0.911	0.833	0	"HES1"
0	0.636216859250086	0.905	0.777	0	"GYG1"
0	0.627531137237085	0.883	0.787	0	"PTPRZ1"
0	0.624621730795003	0.96	0.879	0	"ID2"
0	0.618964678726372	0.926	0.816	0	"METRN"
0	0.61194906747586	0.977	0.894	0	"SOX2"
0	0.611053277855272	0.986	0.916	0	"CNN3"
0	0.600656632728255	0.751	0.821	0	"RGCC"
0	0.599952095364658	0.899	0.918	0	"IFITM3"
0	0.595553530079584	0.996	0.965	0	"PFN2"
0	0.594000997250718	0.888	0.721	0	"ATP1B2"
0	0.588624798374647	0.915	0.862	0	"ABCA1"
0	0.586513634526843	0.915	0.799	0	"CD59"
5.18403893541505e-194	-0.588654050776313	0.573	0.778	1.55521168062452e-190	"SEZ6L2"
1.19210822181036e-140	-0.589730283322008	0.694	0.846	3.57632466543107e-137	"SYT1"
2.28175185406197e-65	-0.589830302952224	0.867	0.913	6.8452555621859e-62	"NNAT"
1.13915301898768e-126	-0.606227998700714	0.745	0.855	3.41745905696303e-123	"GNG3"
3.21002006046905e-279	-0.624189176104046	0.628	0.856	9.63006018140714e-276	"TFAP2B"
9.59999646815004e-137	-0.632721838942891	0.955	0.968	2.87999894044501e-133	"H2AFZ"
2.02925929623897e-73	-0.642446361840064	0.768	0.822	6.08777788871691e-70	"HMGB2"
6.30016228470815e-119	-0.648473373273959	0.716	0.814	1.89004868541244e-115	"DCX"
9.80794197725425e-132	-0.673672100124709	0.872	0.936	2.94238259317628e-128	"SOX11"
0	-0.692535395935045	0.589	0.836	0	"INA"
2.23915492282745e-93	-0.692557675274574	0.795	0.892	6.71746476848236e-90	"HES6"
3.58948106972723e-18	-0.697802723628226	0.854	0.91	1.07684432091817e-14	"TTR"
1.49825676186362e-129	-0.710100773061218	0.849	0.933	4.49477028559087e-126	"TAGLN3"
1.16121189005449e-238	-0.735178959441102	0.649	0.837	3.48363567016347e-235	"HMP19"
1.75519506166691e-94	-0.839100811645427	0.988	0.985	5.26558518500074e-91	"SOX4"
1.92963881427349e-267	-0.844657761885268	0.714	0.871	5.78891644282048e-264	"TMSB15A"
3.08019803467321e-158	-0.854677146643417	0.705	0.833	9.24059410401964e-155	"RTN1"
1.37279283512395e-273	-0.940773138881859	0.973	0.988	4.11837850537184e-270	"STMN1"
6.96849421080526e-222	-0.991775043220856	0.899	0.961	2.09054826324158e-218	"MLLT11"
5.39381493961914e-198	-1.19317859311002	0.736	0.826	1.61814448188574e-194	"CRABP1"
0	-1.20110193937046	0.683	0.855	0	"CD24"
0	-1.97571071861631	0.796	0.94	0	"STMN2"
