id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
AQP4	AQP4	4.6642E+00	0	Water channel	BrainSpLMD|361;Eurexp|euxassay_004747|hindbrain, lung, metanephros, midbrain, olfactory, pancreas, spinal cord, stomach, trigeminal V, ventral grey horn, ventricular layer;BrainSpMouseDev|11616	OMIM|600308
SPARCL1	SPARCL1	4.5233E+00	0	Secreted polypeptide	BrainSpLMD|8404	SFARI||Autism, 3 - Suggestive evidence;OMIM|606041
RP11.71N10.1	RP11.71N10.1	4.3887E+00	0			
AGT	AGT	4.3652E+00	0	Peptide hormone	BrainSpLMD|183;Eurexp|euxassay_011357|axial skeleton, liver;BrainSpMouseDev|11393	OMIM|106150;HPO|183|Anuria, Autosomal recessive inheritance, Hypotension, Microcephaly, Oligohydramnios, Potter facies, Pulmonary hypoplasia, Renotubular dysgenesis, Respiratory insufficiency, Widely patent fontanelles and sutures
GPR37L1	GPR37L1	4.1628E+00	0	G protein coupled receptor	BrainSpLMD|9283;BrainSpMouseDev|82624	OMIM|617630
LGR6	LGR6	4.1305E+00	0	G protein coupled receptor	BrainSpLMD|59352	OMIM|606653
KCNJ16	KCNJ16	4.0632E+00	0	Inward rectifier channel	BrainSpLMD|3773;Eurexp|euxassay_000169|floor plate, floorplate, glomeruli, nephrons	OMIM|605722
MT3	MT3	4.0241E+00	0	Unclassified	BrainSpLMD|4504;Eurexp|euxassay_012667|dorsal root ganglion, glossopharyngeal IX, trigeminal V, ventral grey horn, ventricular layer	OMIM|139255
NPNT	NPNT	4.0215E+00	0	Unclassified	BrainSpLMD|255743;Eurexp|euxassay_007623|choroid plexus, clavicle, diaphragm, incisor, mandible, mantle layer, maxilla, mesenchyme, metanephros, midgut, nasal septum, olfactory, orbito-sphenoid, penis, pericardial cavity, pleural cavity, skeletal muscle, stomach, vault of skull, ventral grey horn, vertebral axis muscle system, vibrissa	OMIM|610306
AC007682.1	AC007682.1	3.9740E+00	0			
CSPG5	CSPG5	3.8663E+00	0	Integral membrane protein	BrainSpLMD|10675	OMIM|606775
DIO2	DIO2	3.7658E+00	0	Enzyme: Oxidoreductase	BrainSpLMD|1734	OMIM|601413
CXCL14	CXCL14	3.6339E+00	0	Chemokine	BrainSpLMD|9547	OMIM|604186
CD9	CD9	3.6048E+00	0	Unclassified	BrainSpLMD|928;Eurexp|euxassay_001933|axial skeleton, bladder, calyces, cervical, cervico-thoracic, foregut-midgut junction, hindgut, lung, midgut, nucleus pulposus, oesophagus, olfactory, oral epithelium, pelvis, pharyngo-tympanic tube, rectum, stomach, submandibular gland primordium, thoracic, thymus primordium, urethra, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|12312	OMIM|143030
ALDOC	ALDOC	3.5852E+00	0	Enzyme: Lyase	BrainSpLMD|230;Eurexp|euxassay_011944|olfactory, ventricular layer	OMIM|103870
CST3	CST3	3.2724E+00	0	Protease inhibitor	BrainSpLMD|1471;Eurexp|euxassay_004853|mantle layer, ventral grey horn, ventricular layer;BrainSpMouseDev|12793	OMIM|604312;HPO|1471|Autosomal dominant inheritance, Cerebral amyloid angiopathy, Cerebral hemorrhage, Dementia, Generalized amyloid deposition, Intracranial hemorrhage, Stroke
GFAP	GFAP	3.2560E+00	0	Structural protein	BrainSpLMD|2670;BrainSpMouseDev|14356	OMIM|137780;HPO|2670|Ataxia, Autosomal dominant inheritance, Bulbar signs, Developmental regression, Diffuse demyelination of the cerebral white matter, Hydrocephalus, Increased CSF protein, Infantile onset, Progressive macrocephaly, Seizures, Spasticity
OLIG1	OLIG1	3.2550E+00	0	Transcription factor	BrainSpLMD|116448;Eurexp|euxassay_007237|mantle layer, marginal layer, olfactory, ventricular layer;BrainSpMouseDev|30398	OMIM|606385
EDNRB	EDNRB	3.1967E+00	0	G protein coupled receptor	BrainSpLMD|1910;Eurexp|euxassay_002855|4th ventricle, bladder, choroid plexus, cochlear component, dorsal root ganglion, ductus deferens, facial VII, foregut-midgut junction, glossopharyngeal IX, heart, hindgut, inferior, intrinsic, lateral recess, loop, mantle layer, meninges, mesenchyme, midgut, oesophagus, rectum, stomach, superior, tail, tongue, trigeminal V, turbinate bones, urethra, ventral grey horn, ventricle, ventricular layer, vertebral axis muscle system, vestibular component, vestibulocochlear VIII;BrainSpMouseDev|13396	OMIM|131244;HPO|1910|Abdominal pain, Abnormal auditory evoked potentials, Abnormal macular morphology, Abnormality of vision, Aganglionic megacolon, Albinism, Ataxia, Autonomic dysregulation, Autosomal dominant inheritance, Autosomal recessive inheritance, Blue irides, Constipation, Global developmental delay, Hearing impairment, Heterochromia iridis, Heterogeneous, Hypopigmentation of the fundus, Hypopigmented skin patches, Intestinal obstruction, Large for gestational age, Leukodystrophy, Muscular hypotonia, Nausea and vomiting, Nystagmus, Olfactory lobe agenesis, Polyneuropathy, Premature graying of hair, Prominent nasal bridge, Sensorineural hearing impairment, Spastic paraparesis, Synophrys, Underdeveloped nasal alae, Weight loss, White eyebrow, White eyelashes, White forelock, Wide nasal bridge
S100B	S100B	3.1468E+00	0	Calcium binding protein	BrainSpLMD|6285;BrainSpMouseDev|19966	OMIM|176990
SIRPA	SIRPA	3.1038E+00	0	Cell surface receptor	BrainSpLMD|140885;Eurexp|euxassay_013621|embryo, floor plate, floorplate, mantle layer, marginal layer	OMIM|602461;COSMIC||HNSCC, colorectal cancer, Lung SCC
ATP13A4	ATP13A4	3.0686E+00	0	ATPase	BrainSpLMD|84239	OMIM|609556
SLCO1C1	SLCO1C1	2.9789E+00	0	Membrane transport protein	BrainSpLMD|53919;Eurexp|euxassay_007061|4th ventricle, choroid plexus, forebrain, hindbrain, meninges, midbrain, spinal cord, ventricular layer	OMIM|613389
LUZP2	LUZP2	2.9387E+00	0	Unclassified	BrainSpLMD|338645;Eurexp|euxassay_015946|marginal layer, ventricular layer	OMIM|608178
CLDN10	CLDN10	2.9323E+00	0	Integral membrane protein	BrainSpLMD|9071;Eurexp|euxassay_014336|epithelium, incisor, left lung, metanephros, molar, olfactory, oral epithelium, pancreas, right lung, vibrissa	OMIM|617579
SPON1	SPON1	2.9194E+00	0	Extracellular matrix protein	BrainSpLMD|10418;Eurexp|euxassay_009887|aorta, mandible, mantle layer, marginal layer, maxilla, pharyngo-tympanic tube, ventral grey horn, ventricular layer	OMIM|604989
BCAN	BCAN	2.9113E+00	0	Adhesion molecule	BrainSpLMD|63827;Eurexp|euxassay_018187|mantle layer, ventral grey horn, ventricular layer;BrainSpMouseDev|11818	OMIM|600347
B3GALTL	B3GALTL	2.8794E+00	0			
HOPX	HOPX	2.8735E+00	0	Transcription regulatory protein	BrainSpLMD|84525;Eurexp|euxassay_010529|anterior, atrium, external, lateral wall, mantle layer, midgut, ventricle, ventricular layer, vibrissa;BrainSpMouseDev|50159	OMIM|607275
EGFR	EGFR	2.7911E+00	0	Receptor tyrosine kinase	BrainSpLMD|1956;Eurexp|euxassay_002564|axial skeleton, cervical region, diaphragm, epidermis, intermediate grey horn, lumbar region, mandible, mantle layer, maxilla, mesenchyme, nasal septum, phalanx, pharyngo-tympanic tube, primary palate, rib, sacral region, thoracic region, trachea, turbinate bones, upper arm, ventricular layer, vibrissa;BrainSpMouseDev|13427	OMIM|131550;COSMIC||glioma, NSCLC, NSCLC;HPO|1956|Alveolar cell carcinoma, Autosomal recessive inheritance, Epidermal acanthosis, Failure to thrive, Hypertension, Long eyelashes, Papule, Pustule, Recurrent bronchiolitis, Recurrent pneumonia, Vomiting
F3	F3	2.7661E+00	0	Coagulation factor	BrainSpLMD|2152;Eurexp|euxassay_009157|axial muscle, calyces, epithelium, larynx, left lung, midgut, olfactory, oral epithelium, pelvis, pharyngo-tympanic tube, pyloric region, rectum, right lung, ventricular layer, vibrissa	OMIM|134390
DTNA	DTNA	2.7639E+00	0	Unclassified	BrainSpLMD|1837;Eurexp|euxassay_010455|dorsal root ganglion, facial VII, glossopharyngeal IX, olfactory, stomach, trigeminal V, ventral grey horn, ventricular layer, vestibular component, vestibulocochlear VIII	OMIM|601239;HPO|1837|Atrial fibrillation, Autosomal dominant inheritance, Congestive heart failure, Hypoplastic left heart, Left ventricular hypertrophy, Left ventricular noncompaction, Left ventricular noncompaction cardiomyopathy, Mitral regurgitation, Patent ductus arteriosus, Sudden cardiac death, Ventricular arrhythmia, Ventricular septal defect
SLC6A11	SLC6A11	2.7533E+00	0	Membrane transport protein	BrainSpLMD|6538;Eurexp|euxassay_019686|intermediate grey horn, lung, mantle layer, ventral grey horn, ventricle, ventricular layer;BrainSpMouseDev|89107	OMIM|607952
RAB31	RAB31	2.7250E+00	0	GTPase	BrainSpLMD|11031;Eurexp|euxassay_003248|axial muscle, basal plate, cervical, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, submandibular gland primordium, thoracic, trigeminal V, vagus X, vibrissa	OMIM|605694
WSCD1	WSCD1	2.6298E+00	0	Integral membrane protein	BrainSpLMD|23302;Eurexp|euxassay_007047|anterior, brain, calyces, cardiac muscle, ductus deferens, incisor, inner ear, mesenchyme, molar, olfactory, optic II, pelvis, posterior, renal/urinary system, retina, spinal cord, thymus primordium, ureter, vagus X, vertebral axis muscle system, vomeronasal organ	
ATP1A2	ATP1A2	2.6028E+00	0	ATPase	BrainSpLMD|477;Eurexp|euxassay_001505|brain, cervical, cervico-thoracic, cochlea, dorsal root ganglion, facial VII, forelimb, glossopharyngeal IX, hindlimb, mesenchyme, naris, neural retina, spinal cord, stroma, thoracic, tongue, trigeminal V, turbinate bones, vagus X, vertebral axis muscle system, vestibulocochlear VIII;BrainSpMouseDev|62830	OMIM|182340;HPO|477|Abnormality of movement, Aphasia, Apraxia, Ataxia, Autosomal dominant inheritance, Blurred vision, Choreoathetosis, Coma, Confusion, Diplopia, Drowsiness, Dysarthria, Dysphasia, Dystonia, Episodic ataxia, Episodic hemiplegia, Episodic quadriplegia, Fever, Generalized tonic-clonic seizures, Hemiparesis, Hemiplegia, Hemiplegia/hemiparesis, Heterogeneous, Incomplete penetrance, Intellectual disability, Mental deterioration, Migraine with aura, Nystagmus, Seizures, Transient unilateral blurring of vision, Vertigo
SLC1A2	SLC1A2	2.6004E+00	0	Membrane transport protein	BrainSpLMD|6506;Eurexp|euxassay_009471|brain, spinal cord;BrainSpMouseDev|20273	SFARI||Autism, No category;OMIM|600300;HPO|6506|Autosomal dominant inheritance, Cerebral atrophy, Epileptic encephalopathy, Flexion contracture, Generalized hypotonia, Global developmental delay, Hypoplasia of the corpus callosum, Intellectual disability, profound, Kyphoscoliosis, Neonatal onset, Seizures
LRIG1	LRIG1	2.5389E+00	0	Cell surface receptor	BrainSpLMD|26018	OMIM|608868
HEPACAM	HEPACAM	2.5127E+00	0	Adhesion molecule	BrainSpLMD|220296	SFARI||Autism, No category;OMIM|611642;HPO|220296|Ataxia, Autosomal dominant inheritance, Autosomal recessive inheritance, Cerebellar atrophy, Cerebral atrophy, Clumsiness, Diffuse spongiform leukoencephalopathy, Diffuse swelling of cerebral white matter, Dysarthria, Generalized hypotonia, Infantile onset, Intellectual disability, Intellectual disability, mild, Macrocephaly, Megalencephaly, Motor delay, Progressive neurologic deterioration, Seizures, Slow progression, Spasticity, Ventriculomegaly
ATP1B2	ATP1B2	2.5104E+00	0	ATPase	BrainSpLMD|482;Eurexp|euxassay_011653|lobe, pituitary, ventral grey horn, ventricular layer;BrainSpMouseDev|11718	OMIM|182331
DBI	DBI	2.4450E+00	0	Ligand	BrainSpLMD|1622;BrainSpMouseDev|12947	OMIM|125950
CCDC80	CCDC80	2.4168E+00	0	Unclassified	BrainSpLMD|151887	OMIM|608298
GATM	GATM	2.3918E+00	0	Enzyme: Amidinotransferase	BrainSpLMD|2628;Eurexp|euxassay_005674|diaphragm, footplate, frenulum, handplate, lower leg, paraxial mesenchyme, shoulder, skeletal muscle, upper arm, upper leg, vertebral axis muscle system	SFARI||Autism, No category;OMIM|602360;HPO|2628|Abnormality of creatine metabolism, Autism, Autosomal recessive inheritance, Delayed speech and language development, Failure to thrive, Global developmental delay, Infantile onset, Intellectual disability, Organic aciduria
PMP2	PMP2	2.3839E+00	0	Transport/cargo protein	BrainSpLMD|5375	OMIM|170715
