id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
RP11.1415C14.4	RP11.1415C14.4	1.8933E+00	0			
RP11.1415C14.3	RP11.1415C14.3	1.7726E+00	0			
MPPED1	MPPED1	1.7265E+00	0	Enzyme: Esterase	Eurexp|euxassay_009802|incisor, mantle layer, marginal layer, molar;BrainSpMouseDev|85966	OMIM|602112
RP11.589F5.4	RP11.589F5.4	1.7145E+00	0			
RP11.98J23.2	RP11.98J23.2	1.6392E+00	0			
LIMCH1	LIMCH1	1.6223E+00	0	Unclassified	BrainSpLMD|22998	OMIM|617750
LINC01102	LINC01102	1.4346E+00	0			
SATB2	SATB2	1.3558E+00	0	Transcription regulatory protein	BrainSpLMD|23314;Eurexp|euxassay_018949|axial skeleton, clavicle, femur, fibula, humerus, intermediate grey horn, laryngeal, larynx, mandible, mantle layer, maxilla, mesenchyme, orbito-sphenoid, palatal shelf, pelvic girdle, rib, scapula, shoulder, tibia;BrainSpMouseDev|84457	SFARI||Autism, 4 - Minimal evidence;OMIM|608148;HPO|23314|Aggressive behavior, Arachnodactyly, Autosomal dominant inheritance, Broad-based gait, Bulbous nose, Camptodactyly, Cleft palate, Conical tooth, Delayed speech and language development, Dental crowding, Downslanted palpebral fissures, Feeding difficulties, Fine hair, Frontal bossing, Global developmental delay, Happy demeanor, High forehead, High palate, Hyperactivity, Inguinal hernia, Intellectual disability, Intellectual disability, severe, Long face, Long nose, Low-set ears, Malar flattening, Microcephaly, Micrognathia, Midface retrusion, Muscular hypotonia, Nail dysplasia, Narrow mouth, Narrow nose, Oligodontia, Prominent nasal bridge, Seizures, Short stature, Smooth philtrum, Sparse hair, Talipes equinovarus, Thin skin, Thin vermilion border
SLA	SLA	1.3135E+00	0	Adapter molecule	BrainSpLMD|6503	OMIM|601099
RBFOX1	RBFOX1	1.3036E+00	0		BrainSpLMD|54715;Eurexp|euxassay_013824|cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, neural retina, thoracic, trigeminal V	SFARI||Autism, 3 - Suggestive evidence;OMIM|605104
GPM6A	GPM6A	1.0409E+00	0	Integral membrane protein	BrainSpLMD|2823;Eurexp|euxassay_005521|brain, diaphragm, epithelium, lip, mesenchyme, mesothelium, neural retina, olfactory, pericardial cavity, spinal cord, stroma	OMIM|601275
STMN2	STMN2	8.8239E-01	0	Cytoskeletal associated protein	BrainSpLMD|11075;Eurexp|euxassay_009268|cervical, cervico-thoracic, dorsal root ganglion, facial VII, footplate, forebrain, glossopharyngeal IX, handplate, hindbrain, hindgut, incisor, lip, midbrain, midgut, neural retina, oesophagus, olfactory, spinal cord, stomach, thoracic, thymus primordium, tongue, trigeminal V, vestibulocochlear VIII, vibrissa, visceral, vomeronasal organ	OMIM|600621
MLLT3	MLLT3	7.7709E-01	0	Unclassified	BrainSpLMD|4300;Eurexp|euxassay_008130|adrenal gland, brain, ear, epithelium, hindgut, incisor, inner ear, lobe, metatarsus, molar, penis, rectum, rib, spinal cord, submandibular gland primordium, vibrissa	OMIM|159558;COSMIC||ALL
DPYSL2	DPYSL2	6.9532E-01	0	Cytoskeletal associated protein	BrainSpLMD|1808	OMIM|602463
TUBA1A	TUBA1A	6.4893E-01	0	Cytoskeletal protein	BrainSpLMD|7846	OMIM|602529;HPO|7846|Agenesis of corpus callosum, Ataxia, Autosomal dominant inheritance, Cerebellar vermis hypoplasia, Generalized hypotonia, Heterotopia, Hypoplasia of the brainstem, Hypoplasia of the corpus callosum, Intellectual disability, severe, Lissencephaly, Microcephaly, Motor delay, Pachygyria, Polymicrogyria, Seizures, Spastic tetraplegia, Ventriculomegaly
MAP1B	MAP1B	4.9000E-01	0	Cytoskeletal associated protein	BrainSpLMD|4131;Eurexp|euxassay_009367|brain, facial VII, glossopharyngeal IX, olfactory, peripheral nervous system, retina, spinal cord, trigeminal V, vagus X, vestibulocochlear VIII, vomeronasal organ	OMIM|157129
CLMP	CLMP	1.2946E+00	1.11E-16		BrainSpLMD|79827;Eurexp|euxassay_001798|mantle layer, marginal layer	OMIM|611693;HPO|79827|Abnormal peristalsis, Autosomal recessive inheritance, Chronic diarrhea, Cognitive impairment, Congenital shortened small intestine, Decreased intestinal transit time, Failure to thrive, Hypotrichosis, Intestinal hypoplasia, Intestinal malrotation, Lipoatrophy, Short stature, Steatorrhea
MEIS2	MEIS2	1.2819E+00	1.11E-16	Transcription factor	BrainSpLMD|4212;BrainSpMouseDev|17303	OMIM|601740;HPO|4212|2-3 toe syndactyly, Atrial septal defect, Autistic behavior, Autosomal dominant inheritance, Biparietal narrowing, Broad hallux, Broad thumb, Cleft palate, Cleft upper lip, Coarctation of aorta, Deeply set eye, Delayed speech and language development, Gastroesophageal reflux, Global developmental delay, High anterior hairline, Highly arched eyebrow, Intellectual disability, Large forehead, Microcephaly, Narrow forehead, Pointed chin, Sandal gap, Short 2nd finger, Short 5th finger, Short philtrum, Short stature, Smooth philtrum, Sparse eyebrow, Tented upper lip vermilion, Upslanted palpebral fissure, Ventricular septal defect
GUSBP1	GUSBP1	1.0461E+00	1.11E-16			
ATP8A2	ATP8A2	1.9813E+00	2.22E-16	ATPase	BrainSpLMD|51761;Eurexp|euxassay_009705|brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, neural retina, olfactory, spinal cord, thoracic, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|605870;HPO|51761|Ataxia, Autosomal recessive inheritance, Cerebellar atrophy, Cerebral atrophy, Cerebral palsy, Congenital onset, Corpus callosum atrophy, Dysarthria, Gait disturbance, Hyperreflexia, Inability to walk, Intellectual disability, Muscular hypotonia, Seizures, Short stature, Skeletal muscle atrophy, Strabismus, Truncal ataxia
KIAA1456	KIAA1456	1.7714E+00	4.44E-16	Unclassified;Enzyme: Aminomethyl transferase	BrainSpLMD|57604;BrainSpMouseDev|106517	OMIM|615666
LMO3	LMO3	1.1372E+00	6.66E-16	Transcription regulatory protein	BrainSpLMD|55885;Eurexp|euxassay_016491|intermediate grey horn, mantle layer, ventral grey horn;BrainSpMouseDev|73751	OMIM|180386
NFIA	NFIA	5.5538E-01	8.88E-16	Transcription factor	BrainSpLMD|4774;BrainSpMouseDev|17794	SFARI||Autism, 4 - Minimal evidence;OMIM|600727;HPO|4774|Agenesis of corpus callosum, Anteverted nares, Arnold-Chiari type I malformation, Broad face, Broad forehead, Cognitive impairment, Cutis marmorata, Generalized hypotonia, Global developmental delay, Hydronephrosis, Hypoplasia of the corpus callosum, Inguinal hernia, Intellectual disability, Low-set ears, Macrocephaly, Narrow mouth, Phenotypic variability, Renal hypoplasia, Seizures, Short chin, Short nose, Sporadic, Syringomyelia, Thin upper lip vermilion, Ventriculomegaly, Vesicoureteral reflux
SYT4	SYT4	8.6527E-01	1.22E-15	Calcium binding protein	BrainSpLMD|6860	OMIM|600103
HS6ST3	HS6ST3	1.3830E+00	1.13E-14	Enzyme: Sulphotransferase	BrainSpLMD|266722;Eurexp|euxassay_009084|mantle layer	OMIM|609401
NKAIN2	NKAIN2	1.7822E+00	1.85E-14	Integral membrane protein	BrainSpLMD|154215	OMIM|609758
DAB1	DAB1	9.8058E-01	3.45E-14	Adapter molecule	BrainSpLMD|1600;Eurexp|euxassay_017879|basal columns, footplate, lip, mantle layer, maxilla, mesenchyme, naris, ventricular layer;BrainSpMouseDev|12911	SFARI||Autism, 5 - Hypothesized but untested;OMIM|603448;HPO|1600|Ataxia, Autosomal dominant inheritance, Dysarthria, Frequent falls, Slow progression, Unsteady gait
