id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
CRYM	CRYM	3.3381E+00	0	Enzyme: Deaminase	BrainSpLMD|1428;Eurexp|euxassay_004117|associated mesenchyme, cochlea, genital tubercle, incisor, mantle layer, marginal layer, medullary stroma, mesenchyme, molar, nasal cavity, perioptic mesenchyme, utricle, ventricular layer;BrainSpMouseDev|12754	OMIM|123740;HPO|1428|Autosomal dominant inheritance, Sensorineural hearing impairment
FEZF2	FEZF2	3.1171E+00	0	Transcription factor	BrainSpLMD|55079;Eurexp|euxassay_009770|mantle layer, ventricular layer, vomeronasal organ;BrainSpMouseDev|34002	SFARI||Autism, 4 - Minimal evidence;OMIM|607414
ZFPM2	ZFPM2	2.9751E+00	0	Transcription regulatory protein	BrainSpLMD|23414;Eurexp|euxassay_009941|mantle layer;BrainSpMouseDev|22519	OMIM|603693;HPO|23414|Abnormal nasal morphology, Abnormal sex determination, Abnormality of the labia, Abnormality of the scrotum, Ambiguous genitalia, Autosomal dominant inheritance, Azoospermia, Brachydactyly, Broad forehead, Clinodactyly of the 5th finger, Clitoral hypertrophy, Congenital diaphragmatic hernia, Cryptorchidism, Decreased fertility in females, Decreased serum estradiol, Decreased testicular size, Decreased testosterone in males, Delayed puberty, Dolichocephaly, Elevated circulating follicle stimulating hormone level, Elevated circulating luteinizing hormone level, Female external genitalia in individual with 46,XY karyotype, Fused labia minora, Gonadal dysgenesis, Gynecomastia, Hypergonadotropic hypogonadism, Hypoplasia of the vagina, Hypospadias, Intrauterine growth retardation, Male infertility, Micropenis, Osteoporosis, Preauricular pit, Primary amenorrhea, Proptosis, Sex reversal, Sparse axillary hair, Sparse pubic hair, Streak ovary, Tetralogy of Fallot, Thin vermilion border, Underdeveloped supraorbital ridges, Urogenital sinus anomaly, Vanishing testis
RGS6	RGS6	2.9673E+00	0	GTPase activating protein	BrainSpLMD|9628	OMIM|603894
PEX5L	PEX5L	2.9039E+00	0	Unclassified	BrainSpLMD|51555;BrainSpMouseDev|37432	OMIM|611058
TSHZ3	TSHZ3	2.7986E+00	0	DNA binding protein	BrainSpLMD|57616;Eurexp|euxassay_005648|dorsal root ganglion	SFARI||Autism, 4 - Minimal evidence;OMIM|614119
VSNL1	VSNL1	2.7770E+00	0	Calcium binding protein	BrainSpLMD|7447	OMIM|600817
HS3ST4	HS3ST4	2.6723E+00	0	Enzyme: Sulphotransferase	BrainSpLMD|9951;Eurexp|euxassay_013327|mantle layer	OMIM|604059
KLHL1	KLHL1	2.6702E+00	0	Cytoskeletal associated protein	BrainSpLMD|57626;Eurexp|euxassay_011007|extrinsic ocular muscle, mantle layer, ventral grey horn	OMIM|605332
SEMA3E	SEMA3E	2.6467E+00	0	Extracellular matrix protein	BrainSpLMD|9723;Eurexp|euxassay_002631|cochlea, lung, mantle layer, naris, olfactory, respiratory;BrainSpMouseDev|20112	OMIM|608166;HPO|9723|Abnormality of female internal genitalia, Abnormality of the aortic valve, Abnormality of the cardiac septa, Abnormality of the inner ear, Abnormality of the soft palate, Anophthalmia, Anosmia, Anterior hypopituitarism, Aplasia/Hypoplasia of the earlobes, Aplasia/Hypoplasia of the thymus, Atrial septal defect, Attention deficit hyperactivity disorder, Autism, Autosomal dominant inheritance, Autosomal recessive inheritance, Bifid scrotum, Choanal atresia, Chorioretinal coloboma, Cleft palate, Cleft upper lip, Coloboma, Cryptorchidism, Decreased testicular size, Delayed eruption of teeth, Delayed puberty, Depressed nasal bridge, Dilatation of the aortic arch, Dimple chin, Double outlet right ventricle, Downslanted palpebral fissures, Duodenal atresia, Dysphagia, Esophageal atresia, External ear malformation, Facial asymmetry, Facial palsy, Feeding difficulties, Gastroesophageal reflux, Gonadotropin deficiency, Gynecomastia, Hearing impairment, Horseshoe kidney, Hydronephrosis, Hypocalcemia, Hypogonadotrophic hypogonadism, Hypoplasia of penis, Hypothyroidism, Intellectual disability, Interrupted aortic arch, Iris coloboma, Labial hypoplasia, Low-set, posteriorly rotated ears, Lymphopenia, Malar flattening, Micropenis, Microphthalmia, Muscular hypotonia, Narrow face, Narrow mouth, Nystagmus, Obsessive-compulsive behavior, Optic atrophy, Overfolded helix, Parathyroid hypoplasia, Patent ductus arteriosus, Phenotypic variability, Polyhydramnios, Posterior choanal atresia, Postnatal growth retardation, Primary amenorrhea, Ptosis, Pulmonic stenosis, Sparse axillary hair, Sparse pubic hair, Sporadic, Square face, Strabismus, Tetralogy of Fallot, Umbilical hernia, Ventricular septal defect
