id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
NEUROD4	NEUROD4	3.2441E+00	0	Transcription factor	BrainSpLMD|58158;Eurexp|euxassay_019457|intermediate grey horn, lung, neural retina, pineal primordium, pituitary, ventricular layer;BrainSpMouseDev|11709	OMIM|611635
RAD51AP1	RAD51AP1	2.9745E+00	0	DNA binding protein	BrainSpLMD|10635;Eurexp|euxassay_010685|ventricular layer	OMIM|603070
MYBL2	MYBL2	2.7830E+00	0	Transcription factor	BrainSpLMD|4605;Eurexp|euxassay_002836|incisor, integumental system, lobe, marginal layer, skeleton, thymus primordium, ventricular layer, vibrissa;BrainSpMouseDev|17632	OMIM|601415
HIST1H1B	HIST1H1B	2.7721E+00	0	DNA binding protein	BrainSpLMD|3009;Eurexp|euxassay_012857|marginal layer, ventricular layer	OMIM|142711
DIAPH3	DIAPH3	2.7265E+00	0	Unclassified	BrainSpLMD|81624;Eurexp|euxassay_012699|incisor, molar, pituitary, submandibular gland primordium, ventricular layer, vibrissa	SFARI||Autism, 5 - Hypothesized but untested;OMIM|614567;HPO|81624|Abnormal auditory evoked potentials, Abnormal speech discrimination, Absence of acoustic reflex, Autosomal dominant inheritance, Sensorineural hearing impairment
KIAA0101	KIAA0101	2.6690E+00	0			
RRM2	RRM2	2.6326E+00	0	Cell cycle control protein	BrainSpLMD|6241;Eurexp|euxassay_004733|footplate, handplate, hindbrain, leg, liver, lung, mantle layer, mesenchyme, metanephros, olfactory, retina, spinal cord, tail, ventricular layer, vibrissa	OMIM|180390
EOMES	EOMES	2.6061E+00	0	Transcription factor	BrainSpLMD|8320;BrainSpMouseDev|13591	OMIM|604615
CDCA5	CDCA5	2.5107E+00	0	Unclassified	BrainSpLMD|113130	OMIM|609374
DTL	DTL	2.4130E+00	0	Unclassified	BrainSpLMD|51514;Eurexp|euxassay_012578|choroid plexus, ventricular layer	OMIM|610617
SPC24	SPC24	2.3378E+00	0	Cell cycle control protein	BrainSpLMD|147841;Eurexp|euxassay_006353|ventricular layer	OMIM|609394
ZWINT	ZWINT	2.3078E+00	0	Cell cycle control protein	BrainSpLMD|11130;Eurexp|euxassay_009942|brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, neural retina, spinal cord, thoracic, trigeminal V, vagus X, valve, vestibulocochlear VIII	OMIM|609177
MELK	MELK	2.2653E+00	0	Serine/threonine kinase	BrainSpLMD|9833;Eurexp|euxassay_018584|4th ventricle, choroid plexus, clavicle, cortex, dorsal root ganglion, facial VII, fundus region, glossopharyngeal IX, hindgut, incisor, left, loop, lumen, mandible, mantle layer, maxilla, metanephros, midgut, molar, naris, olfactory, orbito-sphenoid, pancreas, rectum, renal/urinary system, respiratory, right, stomach, submandibular gland primordium, testis, thymus primordium, trigeminal V, urethra, vagus X, ventral grey horn, ventricular layer, vertebral axis muscle system, vibrissa, vomeronasal organ	OMIM|607025
