id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
TOX3	TOX3	2.2329E+00	0	Unclassified	Eurexp|euxassay_006138|cortex, dorsal root ganglion, epithelium, facial VII, glossopharyngeal IX, mantle layer, mesenchyme, midgut, olfactory, pancreas, paraxial mesenchyme, penis, retina, stomach, stroma, tongue, trigeminal V, ventricular layer, vestibulocochlear VIII;BrainSpMouseDev|89252	OMIM|611416
DLX1	DLX1	2.1363E+00	0	Transcription factor	BrainSpLMD|1745;Eurexp|euxassay_008426|cochlea, epithelium, footplate, handplate, incisor, inner ear, mantle layer, midgut, naso-lacrimal duct, neural retina, oesophagus, paraxial mesenchyme, retina, skeletal muscle, skeleton, stomach, utricle, vibrissa;BrainSpMouseDev|13169	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600029
DLX2	DLX2	2.0351E+00	0	Transcription factor	BrainSpLMD|1746;BrainSpMouseDev|13171	SFARI||Autism, 4 - Minimal evidence;OMIM|126255
HMGN2	HMGN2	1.4352E+00	0	Transcription regulatory protein	BrainSpLMD|3151;Eurexp|euxassay_007442|embryo;BrainSpMouseDev|15106	OMIM|163910
NKX2.1	NKX2.1	2.4416E+00	1.11E-16			
HMGN2P5	HMGN2P5	1.5052E+00	7.55E-15			
PTMA	PTMA	7.5251E-01	5.66E-14	Unclassified	BrainSpLMD|5757	OMIM|188390
LMO1	LMO1	2.3343E+00	1.35E-13	Transcription factor	BrainSpLMD|4004;BrainSpMouseDev|73752	OMIM|186921;COSMIC||T-ALL, neuroblastoma, neuroblastoma;HPO|4004|Elevated urinary catecholamines, Neoplasm of the nervous system
CDK6	CDK6	2.1719E+00	5.73E-13	Cell cycle control protein	BrainSpLMD|1021	OMIM|603368;COSMIC||ALL;HPO|1021|Abnormal cortical bone morphology, Agenesis of corpus callosum, Autosomal recessive inheritance, Cortical gyral simplification, Global developmental delay, Heterotopia, Hyperreflexia, Hypoplasia of the frontal lobes, Intellectual disability, Intellectual disability, mild, Intellectual disability, severe, Microcephaly, Pachygyria, Short stature, Sloping forehead, Thin upper lip vermilion, Unilateral renal agenesis, Upslanted palpebral fissure, Ventriculomegaly, Vesicoureteral reflux
HMGN2P3	HMGN2P3	1.2580E+00	1.02E-12			
BEST3	BEST3	2.7660E+00	2.86E-11	Integral membrane protein	BrainSpLMD|144453	OMIM|607337
CCND2	CCND2	1.4158E+00	3.48E-11	Cell cycle control protein	BrainSpLMD|894	OMIM|123833;COSMIC||NHL, CLL;HPO|894|Abnormal localization of kidney, Abnormal nasal morphology, Autosomal dominant inheritance, Congenital onset, Depressed nasal bridge, Global developmental delay, High forehead, Hydrocephalus, Hypertelorism, Macrocephaly, Megalencephaly, Mitral regurgitation, Narrow mouth, Polymicrogyria, Postaxial hand polydactyly, Prominent forehead, Seizures, Telecanthus, Ventricular septal defect, Ventriculomegaly
TMSB4XP1	TMSB4XP1	9.1019E-01	8.30E-11	-	BrainSpLMD|7115	
DLX6	DLX6	1.1212E+00	3.61E-10	Transcription factor	BrainSpLMD|1750;BrainSpMouseDev|13175	SFARI||Autism, 4 - Minimal evidence;OMIM|600030;HPO|1750|Finger syndactyly, Oligodactyly
INSM1	INSM1	1.6419E+00	4.52E-10	Transcription factor	BrainSpLMD|3642;Eurexp|euxassay_019598|adrenal gland, mantle layer, marginal layer, neural retina, olfactory, pancreas, ventricular layer, vomeronasal organ;BrainSpMouseDev|32944	OMIM|600010
TUBA1B	TUBA1B	1.2204E+00	5.30E-10	Structural protein	BrainSpLMD|10376	OMIM|602530
HMGN2P41	HMGN2P41	5.7822E-01	5.57E-10			
METAP1D	METAP1D	1.8304E+00	6.50E-10		BrainSpLMD|254042	OMIM|610267
TMSB4X	TMSB4X	9.5746E-01	8.02E-10	Cytoskeletal associated protein		OMIM|300159
DLX6.AS1	DLX6.AS1	5.4647E-01	8.73E-10			
