id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
VEPH1	VEPH1	2.6273E+00	0	Unclassified	BrainSpLMD|79674	OMIM|609594
ILDR2	ILDR2	2.5409E+00	0	Immunoglobulin	BrainSpLMD|387597	
MCM4	MCM4	2.2476E+00	0	DNA binding protein	BrainSpLMD|4173	SFARI||Autism, 4 - Minimal evidence;OMIM|602638;HPO|4173|Adrenal insufficiency, Autosomal recessive inheritance, Global developmental delay, Hepatomegaly, Intrauterine growth retardation, Lymphadenopathy, Lymphoproliferative disorder, Microcephaly, Postnatal growth retardation, Recurrent respiratory infections, Recurrent viral infections, Splenomegaly
RP11.714G18.1	RP11.714G18.1	2.1571E+00	0			
MCM3	MCM3	2.1268E+00	0	DNA binding protein	BrainSpLMD|4172;Eurexp|euxassay_001694|marginal layer, ventricular layer	OMIM|602693
CDK6	CDK6	2.0158E+00	0	Cell cycle control protein	BrainSpLMD|1021	OMIM|603368;COSMIC||ALL;HPO|1021|Abnormal cortical bone morphology, Agenesis of corpus callosum, Autosomal recessive inheritance, Cortical gyral simplification, Global developmental delay, Heterotopia, Hyperreflexia, Hypoplasia of the frontal lobes, Intellectual disability, Intellectual disability, mild, Intellectual disability, severe, Microcephaly, Pachygyria, Short stature, Sloping forehead, Thin upper lip vermilion, Unilateral renal agenesis, Upslanted palpebral fissure, Ventriculomegaly, Vesicoureteral reflux
WWTR1	WWTR1	1.9800E+00	0	Transcription regulatory protein	BrainSpLMD|25937;Eurexp|euxassay_000592|limb, tail, ventricular layer, vertebral axis muscle system;BrainSpMouseDev|61234	OMIM|607392;COSMIC||epithelioid haemangioendothelioma
UHRF1	UHRF1	1.9424E+00	0	DNA binding protein	BrainSpLMD|29128	OMIM|607990
DHRS3	DHRS3	1.7763E+00	0	Enzyme: Dehydrogenase	BrainSpLMD|9249;Eurexp|euxassay_011877|epithelium, fundus region, sublingual gland primordium, urethra, ventricular layer	OMIM|612830
TFDP2	TFDP2	1.7277E+00	0	Transcription factor	BrainSpLMD|7029;Eurexp|euxassay_009223|liver, marginal layer, nasal capsule, neural retina, olfactory, ventricular layer;BrainSpMouseDev|84320	OMIM|602160
NKX2.1	NKX2.1	1.6536E+00	0			
SOX2.OT	SOX2.OT	1.4240E+00	0			
