id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
GPX3	GPX3	3.2864E+00	0	Enzyme: Peroxidase	BrainSpLMD|2878;Eurexp|euxassay_003296|foregut-midgut junction, hindgut, incisor, left atrium, midgut, right atrium, stomach;BrainSpMouseDev|14554	OMIM|138321
CD38	CD38	3.2372E+00	0	Enzyme: Hydrolase	BrainSpLMD|952	SFARI||Autism, No category;OMIM|107270
SLCO1C1	SLCO1C1	3.1990E+00	0	Membrane transport protein	BrainSpLMD|53919;Eurexp|euxassay_007061|4th ventricle, choroid plexus, forebrain, hindbrain, meninges, midbrain, spinal cord, ventricular layer	OMIM|613389
SLC15A2	SLC15A2	3.1562E+00	0	Membrane transport protein	BrainSpLMD|6565	OMIM|602339
TNC	TNC	3.0497E+00	0	Adhesion molecule	BrainSpLMD|3371;Eurexp|euxassay_009501|axial skeleton, basioccipital bone, basisphenoid bone, clavicle, cochlea, cochlear duct, diaphragm, dorsal grey horn, dorsal root ganglion, exoccipital bone, fibula, handplate, humerus, lip, lung, mandible, mantle layer, maxilla, maxillary division, mesenchyme, molar, nasal septum, oesophagus, orbito-sphenoid, palatal shelf, pelvic girdle, penis, pharyngo-tympanic tube, rib, scapula, skeletal muscle, sternum, temporal bone, thymus primordium, tibia, tongue, trigeminal V, vault of skull, ventral grey horn, ventricle, ventricular layer, vibrissa;BrainSpMouseDev|21680	OMIM|187380;COSMIC||SCC, melanoma;HPO|3371|Autosomal dominant inheritance, Hearing impairment
RP11.268P4.5	RP11.268P4.5	2.8162E+00	0			
HTR2A	HTR2A	2.8067E+00	0	G protein coupled receptor	BrainSpLMD|3356;BrainSpMouseDev|15333	SFARI||Autism, 5 - Hypothesized but untested;OMIM|182135
HOPX	HOPX	2.8051E+00	0	Transcription regulatory protein	BrainSpLMD|84525;Eurexp|euxassay_010529|anterior, atrium, external, lateral wall, mantle layer, midgut, ventricle, ventricular layer, vibrissa;BrainSpMouseDev|50159	OMIM|607275
CLU	CLU	2.7930E+00	0	Complement protein	BrainSpLMD|1191;BrainSpMouseDev|12543	OMIM|185430
AQP4	AQP4	2.7814E+00	0	Water channel	BrainSpLMD|361;Eurexp|euxassay_004747|hindbrain, lung, metanephros, midbrain, olfactory, pancreas, spinal cord, stomach, trigeminal V, ventral grey horn, ventricular layer;BrainSpMouseDev|11616	OMIM|600308
RHOJ	RHOJ	2.7081E+00	0	GTPase	BrainSpLMD|57381;Eurexp|euxassay_002084|alimentary system, cavities and their linings, gland, integumental system, limb, meninges, mesenchyme, renal/urinary system, reproductive system, respiratory system, tail, vertebral axis muscle system	OMIM|607653
LPAR1	LPAR1	2.7076E+00	0	G protein coupled receptor	BrainSpLMD|1902	OMIM|602282
DIO2	DIO2	2.6946E+00	0	Enzyme: Oxidoreductase	BrainSpLMD|1734	OMIM|601413
FAM107A	FAM107A	2.6847E+00	0	Unclassified	BrainSpLMD|11170;Eurexp|euxassay_005179|inner ear, olfactory	OMIM|608295
RP11.561I11.4	RP11.561I11.4	2.6500E+00	0			
