id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
CRYAB	CRYAB	4.1740E+00	0	Heat shock protein	Eurexp|euxassay_009877|diaphragm, forelimb, hindlimb, mesenchyme, skeletal muscle, ventricle, vertebral axis muscle system	OMIM|123590;HPO|1410|Adult onset, Apnea, Autophagic vacuoles, Autosomal dominant inheritance, Autosomal recessive inheritance, Cataract, Decreased Achilles reflex, Dilated cardiomyopathy, Distal muscle weakness, EMG: myopathic abnormalities, Elevated serum creatine phosphokinase, Flexion contracture, Foot dorsiflexor weakness, Hypertrophic cardiomyopathy, Late-onset proximal muscle weakness, Limb-girdle muscle weakness, Mitral regurgitation, Muscle fiber splitting, Muscular dystrophy, Neck muscle weakness, Posterior polar cataract, Rapidly progressive, Respiratory failure, Respiratory insufficiency due to muscle weakness, Rigidity, Slow progression, Weak cry
FBXO32	FBXO32	2.7086E+00	0	Ubiquitin proteasome system protein	BrainSpLMD|114907;Eurexp|euxassay_009279|atrium, cochlea, cochlear duct, intermediate grey horn, lip, mesenchyme, oesophagus, olfactory, sublingual gland primordium, ventricular layer, vomeronasal organ	OMIM|606604
ITGA2	ITGA2	2.6880E+00	0	Cell surface receptor	BrainSpLMD|3673;Eurexp|euxassay_009582|medulla	OMIM|192974;HPO|3673|Autosomal dominant inheritance, Bruising susceptibility, Congenital onset, Thrombocytopenia
CTGF	CTGF	2.6691E+00	0	Extracellular matrix protein	BrainSpLMD|1490;Eurexp|euxassay_004838|alimentary system, aorta, arch of aorta, axial skeleton, basioccipital bone, basisphenoid bone, bladder, cardiac muscle, carotid artery, cartilage, clavicle, cortex, cricoid, descending, dorsal aorta, exoccipital bone, fibula, humerus, incisor, laryngeal, larynx, lung, meninges, mesenchyme, metanephros, metatarsus, midgut, molar, nasal septum, orbito-sphenoid, otic capsule, palatal shelf, pelvic girdle, petrous part, phalanx, pharyngo-tympanic tube, pulmonary artery, pulmonary trunk, respiratory tract, rib, scapula, skeletal muscle, skeleton, sternum, stomach, temporal bone, thoracic aorta, thyroid, tibia, trachea, tubo-tympanic recess, turbinate bones, umbilical artery, vault of skull, ventricle, ventricular layer, vomeronasal organ;BrainSpMouseDev|13996	OMIM|121009;HPO|1490|Arthralgia, Arthritis, Autoimmunity, Carious teeth, Dyspareunia, Dysphagia, Dyspnea, Flexion contracture, Gastroesophageal reflux, Hypopigmented skin patches, Malabsorption, Mucosal telangiectasiae, Muscle weakness, Narrow foramen obturatorium, Nausea and vomiting, Oliguria, Osteolysis, Pulmonary fibrosis, Pulmonary infiltrates, Skin ulcer, Telangiectasia of the skin, Xerostomia
LRP4	LRP4	2.4234E+00	0	Cell surface receptor	Eurexp|euxassay_011129|alar columns, epithelium, glomeruli, incisor, mantle layer, molar, olfactory, ventricular layer, vibrissa	OMIM|604270;HPO|4038|2-3 finger syndactyly, Abnormal cortical bone morphology, Abnormality of the nose, Autosomal dominant inheritance, Autosomal recessive inheritance, Congenital onset, Craniofacial hyperostosis, Curved distal phalanges of the hand, Cutaneous finger syndactyly, Diaphyseal thickening, Difficulty walking, Downslanted palpebral fissures, Facial palsy, Feeding difficulties, Fingernail dysplasia, Frontal bossing, Hearing impairment, Hypertelorism, Hypoplasia of the radius, Hypoplasia of the ulna, Hyporeflexia, Increased bone mineral density, Macrocephaly, Mandibular prognathia, Micrognathia, Nail dysplasia, Prominent forehead, Ptosis, Renal agenesis, Renal hypoplasia, Sensorineural hearing impairment, Short finger, Syndactyly, Tall stature
SAMD4A	SAMD4A	2.4141E+00	0	Unclassified	BrainSpLMD|23034	OMIM|610747
STOX1	STOX1	2.3393E+00	0	DNA binding protein	BrainSpLMD|219736	OMIM|609397;HPO|219736|Eclampsia, Polygenic inheritance, Preeclampsia
ST5	ST5	2.3107E+00	0	Unclassified	BrainSpLMD|6764	OMIM|140750
DAOA.AS1_2	DAOA.AS1_2	2.3049E+00	0			
EGR2	EGR2	2.3041E+00	0	Transcription factor	BrainSpLMD|1959;Eurexp|euxassay_000939|vibrissa;BrainSpMouseDev|13432	SFARI||Autism, 5 - Hypothesized but untested;OMIM|129010;HPO|1959|Abnormality of the cranial nerves, Areflexia, Autosomal dominant inheritance, Autosomal recessive inheritance, Congenital onset, Decreased motor nerve conduction velocity, Decreased number of peripheral myelinated nerve fibers, Distal amyotrophy, Distal muscle weakness, Distal sensory impairment, Foot dorsiflexor weakness, Generalized hypotonia, Hammertoe, Heterogeneous, Hypertrophic nerve changes, Hyporeflexia, Increased CSF protein, Infantile onset, Juvenile onset, Kyphoscoliosis, Motor delay, Neonatal hypotonia, Onion bulb formation, Peripheral hypomyelination, Peripheral neuropathy, Pes cavus, Segmental peripheral demyelination/remyelination, Sensory ataxia, Split hand, Steppage gait, Ulnar claw, Upper limb muscle weakness, Variable expressivity
C8orf4	C8orf4	2.2914E+00	0			
