id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
SIX3	SIX3	4.0006E+00	0	Transcription factor	BrainSpLMD|6496;Eurexp|euxassay_019625|corpus striatum, dorsal root ganglion, mantle layer, neural retina, olfactory, pituitary, trigeminal V, ventral grey horn, ventricular layer, vomeronasal organ;BrainSpMouseDev|20235	OMIM|603714;HPO|6496|Absent nasal septal cartilage, Adrenal hypoplasia, Agenesis of corpus callosum, Anterior pituitary agenesis, Aplasia of the nose, Autosomal dominant inheritance, Bifid uvula, Cerebellar hypoplasia, Constipation, Cyclopia, Diabetes insipidus, Generalized hypotonia, Global developmental delay, Heterogeneous, Holoprosencephaly, Hypotelorism, Incomplete penetrance, Intellectual disability, Malar flattening, Median cleft lip and palate, Microcephaly, Microphthalmia, Midface retrusion, Schizencephaly, Scoliosis, Seizures, Single median maxillary incisor, Sporadic, Submucous cleft hard palate, Variable expressivity
LINC01305	LINC01305	3.6078E+00	0			
SYNPR	SYNPR	2.8256E+00	0	Membrane transport protein	BrainSpLMD|132204;Eurexp|euxassay_003004|alar plate, basal plate, diencephalon, dorsal grey horn, dorsal root ganglion, facial VII, glossopharyngeal IX, hindbrain, mantle layer, marginal layer, medulla oblongata, metencephalon, midbrain, thymus primordium, trigeminal V, vagus X, ventral grey horn, ventricular layer, vestibulocochlear VIII;BrainSpMouseDev|47844	
FOXP1	FOXP1	2.6376E+00	0	Transcription factor	BrainSpLMD|27086;Eurexp|euxassay_012052|Meckel's cartilage, axial skeleton, basioccipital bone, basisphenoid bone, exoccipital bone, femur, fibula, handplate, humerus, mantle layer, mesenchyme, metatarsus, nasal septum, orbito-sphenoid, pelvic girdle, rib, scapula, temporal bone, tibia, turbinate;BrainSpMouseDev|72814	SFARI||Autism, 2 - Strong candidate;OMIM|605515;COSMIC||ALL;HPO|27086|Aggressive behavior, Anemia, Autosomal dominant inheritance, B-cell lymphoma, Broad nasal tip, Constipation, Delayed gross motor development, Delayed speech and language development, Downslanted palpebral fissures, Fatigue, Fever, Generalized hypotonia, Hyperactivity, Hyperhidrosis, Hypertelorism, Intellectual disability, Macrocephaly, Nausea and vomiting, Nystagmus, Open mouth, Prominent forehead, Pulmonary infiltrates, Retrognathia, Short nose, Stereotypy, Strabismus, Weight loss
ZFHX3	ZFHX3	2.4315E+00	0	DNA binding protein	BrainSpLMD|463;Eurexp|euxassay_016590|axial skeleton, cervical, cervico-thoracic, cornea, dorsal root ganglion, exoccipital bone, facial VII, glossopharyngeal IX, head mesenchyme, interdigital region between digits 1 and 2, interdigital region between digits 2 and 3, interdigital region between digits 3 and 4, interdigital region between digits 4 and 5, mantle layer, mesenchyme, metatarsus, neural retina, orbito-sphenoid, penis, thoracic, trigeminal V, turbinate, vagus X, vault of skull, ventral grey horn;BrainSpMouseDev|11693	OMIM|104155;COSMIC||endometrial, gastric, prostate
BCL11B	BCL11B	1.6132E+00	0	Transcription regulatory protein;DNA binding protein	BrainSpLMD|64919;BrainSpMouseDev|37240	OMIM|606558;COSMIC||T-ALL;HPO|64919|Absent speech, Autosomal dominant inheritance, Congenital onset, Generalized hypotonia, Global developmental delay, Hirsutism, Hypertelorism, Inflammatory abnormality of the skin, Intellectual disability, Micrognathia, Natal tooth, Pulmonary artery stenosis, Seizures, Severe combined immunodeficiency, Short palpebral fissure, Spastic tetraplegia, Umbilical hernia, Wormian bones
MEIS2	MEIS2	1.3936E+00	0	Transcription factor	BrainSpLMD|4212;BrainSpMouseDev|17303	OMIM|601740;HPO|4212|2-3 toe syndactyly, Atrial septal defect, Autistic behavior, Autosomal dominant inheritance, Biparietal narrowing, Broad hallux, Broad thumb, Cleft palate, Cleft upper lip, Coarctation of aorta, Deeply set eye, Delayed speech and language development, Gastroesophageal reflux, Global developmental delay, High anterior hairline, Highly arched eyebrow, Intellectual disability, Large forehead, Microcephaly, Narrow forehead, Pointed chin, Sandal gap, Short 2nd finger, Short 5th finger, Short philtrum, Short stature, Smooth philtrum, Sparse eyebrow, Tented upper lip vermilion, Upslanted palpebral fissure, Ventricular septal defect
RUNX1T1	RUNX1T1	1.1082E+00	0	Transcription regulatory protein	BrainSpLMD|862;Eurexp|euxassay_016597|dorsal grey horn, mantle layer;BrainSpMouseDev|12180	OMIM|133435;COSMIC||AML
DLX6.AS1	DLX6.AS1	1.0941E+00	0			
SOX4	SOX4	7.3430E-01	0	Transcription factor	BrainSpLMD|6659;Eurexp|euxassay_019583|cervical, cervico-thoracic, dorsal grey horn, dorsal root ganglion, incisor, lung, mantle layer, mesenchyme, metanephros, molar, neural retina, oesophagus, phalanx, submandibular gland primordium, testis, trachea, valve, vibrissa;BrainSpMouseDev|20439	OMIM|184430
DCC	DCC	2.0964E+00	3.33E-16	Cell surface receptor	BrainSpLMD|1630;Eurexp|euxassay_009578|mantle layer, marginal layer, neural retina, ventricular layer;BrainSpMouseDev|12956	OMIM|120470;COSMIC||CRC, melanoma, SCC;HPO|1630|Autosomal dominant inheritance, Bimanual synkinesia, Hereditary nonpolyposis colorectal carcinoma, Incomplete penetrance, Neoplasm of the stomach, Renal cell carcinoma, Squamous cell carcinoma, Transitional cell carcinoma of the bladder, Uterine leiomyosarcoma
BCL11A	BCL11A	9.1494E-01	3.33E-16	DNA binding protein	BrainSpLMD|53335;Eurexp|euxassay_007892|dorsal grey horn, incisor, naris, olfactory, pharyngo-tympanic tube, submandibular gland primordium, vibrissa;BrainSpMouseDev|13802	SFARI||Autism, 2 - Strong candidate;OMIM|606557;COSMIC||B-CLL;HPO|53335|Autosomal dominant inheritance, Congenital onset, Cupped ear, Downslanted palpebral fissures, Epicanthus, Everted lower lip vermilion, Global developmental delay, Intellectual disability, Joint hypermobility, Low-set ears, Microcephaly, Midface retrusion, Overfolded helix, Retrognathia, Strabismus, Thin upper lip vermilion
NNAT	NNAT	1.2628E+00	6.44E-15	Regulatory/other subunit	BrainSpLMD|4826;Eurexp|euxassay_007364|brain, cervical, cervico-thoracic, diaphragm, dorsal root ganglion, facial VII, glossopharyngeal IX, left lung, mesenchyme, mesothelium, midgut, neural retina, oesophagus, olfactory, paraxial mesenchyme, pericardial cavity, peritoneal cavity, right lung, skeletal muscle, spinal cord, stomach, thoracic, tongue, trigeminal V, vagus X, vertebral axis muscle system, vestibulocochlear VIII;BrainSpMouseDev|17878	OMIM|603106
ZFHX4	ZFHX4	1.5987E+00	6.88E-15	Transcription factor	BrainSpLMD|79776;Eurexp|euxassay_005820|epidermis, mantle layer, nasal septum, urethra;BrainSpMouseDev|56662	OMIM|606940;HPO|79776|Autosomal dominant inheritance, Congenital ptosis
LRRC16A	LRRC16A	1.3472E+00	1.23E-14			
MEG3	MEG3	1.0239E+00	2.12E-13			OMIM|605636
NRXN3	NRXN3	3.8290E-01	9.02E-13	Adhesion molecule	BrainSpLMD|9369;Eurexp|euxassay_009777|bladder, collecting ducts, inner ear, mantle layer, marginal layer, neural retina, vibrissa	SFARI||Autism, 3 - Suggestive evidence;OMIM|600567
FRY	FRY	1.7318E+00	3.25E-12	Unclassified	BrainSpLMD|10129;Eurexp|euxassay_016041|axial skeleton, cervical, cervico-thoracic, clavicle, cricoid, dorsal root ganglion, exoccipital bone, facial VII, fibula, glossopharyngeal IX, mantle layer, metatarsus, nasal septum, neural retina, orbito-sphenoid, otic capsule, pelvic girdle, phalanx, rest of mesenchyme, rib, sternum, temporal bone, thoracic, thyroid, tibia, trigeminal V, turbinate, vagus X, vestibulocochlear VIII, vibrissa	OMIM|614818
PLP1	PLP1	2.4414E+00	6.42E-12	Structural protein	BrainSpLMD|5354;BrainSpMouseDev|18587	OMIM|300401;HPO|5354|Abnormal pyramidal signs, Abnormality of extrapyramidal motor function, Ataxia, Babinski sign, Bowel incontinence, Cerebral dysmyelination, Choreoathetosis, Degeneration of the lateral corticospinal tracts, Delayed speech and language development, Dysarthria, Dysmetria, Dysphagia, Dystonia, Failure to thrive, Flexion contracture, Generalized hypotonia, Global developmental delay, Head titubation, Hyperreflexia, Infantile onset, Intellectual disability, Juvenile onset, Lower limb muscle weakness, Lower limb spasticity, Microcephaly, Muscle weakness, Muscular hypotonia, Nystagmus, Optic atrophy, Pes cavus, Phenotypic variability, Progressive spastic quadriplegia, Psychomotor deterioration, Reduction of oligodendroglia, Rotary nystagmus, Scanning speech, Short stature, Skeletal muscle atrophy, Slow progression, Spastic gait, Spastic paraparesis, Spastic paraplegia, Spastic/hyperactive bladder, Spinocerebellar tract degeneration, Sudanophilic leukodystrophy, Tremor, X-linked recessive inheritance
MAML3	MAML3	1.3803E+00	2.92E-11	DNA binding protein	BrainSpLMD|55534	OMIM|608991
PLEKHH2	PLEKHH2	2.8852E+00	3.60E-11	Cytoskeletal protein	BrainSpLMD|130271	OMIM|612723
RP11.166D19.1	RP11.166D19.1	1.0711E+00	5.92E-10			
SP9	SP9	1.6995E+00	8.03E-10		BrainSpLMD|100131390;BrainSpMouseDev|120188	
PBX3	PBX3	2.0858E+00	4.33E-09	Transcription factor	BrainSpLMD|5090;Eurexp|euxassay_002571|diencephalon, hindbrain, mantle layer, marginal layer, midbrain, pharyngo-tympanic tube, spinal cord;BrainSpMouseDev|18282	OMIM|176312
NELL1	NELL1	1.6438E+00	6.58E-09	Enzyme: Oxidoreductase	BrainSpLMD|4745	SFARI||Autism, No category;OMIM|602319
