id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
TTR	TTR	9.68356E+00	0	Transport/cargo protein	BrainSpLMD|7276;Eurexp|euxassay_010654|choroid plexus, liver, lobe, midgut, pancreas, stomach;BrainSpMouseDev|21896	OMIM|176300;HPO|7276|Adult onset, Amyloid deposition in the vitreous humor, Amyloidosis, Ataxia, Autosomal dominant inheritance, Cardiomegaly, Cardiomyopathy, Constipation, Constrictive median neuropathy, Dementia, Diarrhea, Digital flexor tenosynovitis, Dysarthria, Dysautonomia, Headache, Hearing impairment, Hemiparesis, Hyporeflexia, Impotence, Increased CSF protein, Muscle weakness, Nystagmus, Orthostatic hypotension due to autonomic dysfunction, Paraplegia, Peripheral axonal neuropathy, Peripheral neuropathy, Phenotypic variability, Polyneuropathy, Progressive, Seizures, Spasticity, Stroke-like episode, Tremor, Urinary incontinence, Visual impairment, Vitamin B6 deficiency
CDC20B	CDC20B	7.52813E+00	1.15E-11	Unclassified	BrainSpLMD|166979	
FOLR1	FOLR1	6.91904E+00	0	Cell surface receptor	BrainSpLMD|2348;Eurexp|euxassay_000743|4th ventricle, calyces, choroid plexus, foregut-midgut junction, hindgut, midgut	OMIM|136430;HPO|2348|Autosomal recessive inheritance, Developmental regression, Intellectual disability, Neurodegeneration, Seizures
HTR2C	HTR2C	6.30621E+00	0	G protein coupled receptor	BrainSpLMD|3358;BrainSpMouseDev|15335	OMIM|312861
TPPP3	TPPP3	6.10475E+00	0	Unclassified	BrainSpLMD|51673;Eurexp|euxassay_009872|cervical, cervico-thoracic, diaphragm, dorsal root ganglion, extrinsic ocular muscle, facial VII, fibula, glossopharyngeal IX, mantle layer, mesenchyme, neural retina, olfactory, rest of mesenchyme, skeletal muscle, thoracic, tibia, trigeminal V, ventral grey horn, ventricular layer, vertebral axis muscle system	OMIM|616957
ZMYND10	ZMYND10	5.92479E+00	0	Unclassified	BrainSpLMD|51364	OMIM|607070;HPO|51364|Autosomal recessive inheritance, Bronchiectasis, Chronic bronchitis, Ciliary dyskinesia, Infertility, Nasal polyposis, Recurrent otitis media, Recurrent respiratory infections, Recurrent sinusitis, Reduced sperm motility, Respiratory insufficiency due to defective ciliary clearance, Rhinitis, Sinusitis, Situs inversus totalis
ZNF474	ZNF474	5.78895E+00	1.02E-13	DNA binding protein	BrainSpLMD|133923;Eurexp|euxassay_014405|axial skeleton	
SPAG6	SPAG6	5.74061E+00	2.33E-15	Structural protein;Motor protein	BrainSpLMD|9576	OMIM|605730
F5	F5	5.70536E+00	4.44E-16	Coagulation factor	BrainSpLMD|2153;Eurexp|euxassay_008094|left, right	OMIM|612309;HPO|2153|Abdominal pain, Adult onset, Ascites, Autosomal dominant inheritance, Autosomal recessive inheritance, Bruising susceptibility, Cirrhosis, Deep venous thrombosis, Elevated hepatic transaminases, Epistaxis, Esophageal varix, Fever, Hepatomegaly, Hypercoagulability, Menorrhagia, Portal hypertension, Preeclampsia, Prolonged bleeding time, Prolonged partial thromboplastin time, Prolonged prothrombin time, Prolonged whole-blood clotting time, Reduced factor V activity, Resistance to activated protein C, Splenomegaly
ARMC3	ARMC3	5.63316E+00	0	Unclassified	BrainSpLMD|219681	OMIM|611226
CLIC6	CLIC6	5.40975E+00	0	Voltage gated channel	BrainSpLMD|54102	OMIM|615321
ADGB	ADGB	5.40338E+00	1.69E-12	Unclassified		OMIM|614630
CLDN1	CLDN1	5.38108E+00	6.00E-11	Cell junction protein	BrainSpLMD|9076;Eurexp|euxassay_004814|calyces, cervical region, choroid plexus, epidermis, incisor, lateral recess, lumbar region, oesophagus, sacral region, skeletal muscle, submandibular gland primordium, thoracic region, tongue, vibrissa	OMIM|603718;HPO|9076|Abnormality of blood and blood-forming tissues, Alopecia, Autosomal recessive inheritance, Cholangitis, Dry skin, Epidermal acanthosis, Hepatomegaly, Hypodontia, Hypoplasia of dental enamel, Hypotrichosis, Hypotrichosis of the scalp, Ichthyosis, Jaundice, Oligodontia, Orthokeratosis, Parakeratosis, Scarring alopecia of scalp, Sparse and thin eyebrow, Sparse body hair, Sparse eyelashes, Splenomegaly
FANK1	FANK1	5.34886E+00	0	Unclassified	BrainSpLMD|92565	OMIM|611640
TCTEX1D1	TCTEX1D1	5.31785E+00	2.22E-15	Structural protein	BrainSpLMD|200132	
DNAH12	DNAH12	5.31349E+00	0	Motor protein	BrainSpLMD|201625	OMIM|603340
TTC18	TTC18	5.28724E+00	0			
PIFO	PIFO	5.27546E+00	0	Unclassified	BrainSpLMD|128344	OMIM|614234
DAW1	DAW1	5.24922E+00	0	Unclassified	BrainSpLMD|164781	
SLC39A12	SLC39A12	5.24708E+00	1.11E-16	Membrane transport protein	BrainSpLMD|221074;Eurexp|euxassay_007024|choroid invagination, choroid plexus, mesenchyme, roof plate, ventricular layer	OMIM|608734
SPAG17	SPAG17	5.24434E+00	2.86E-14	Unclassified	BrainSpLMD|200162	OMIM|616554
GALNT5	GALNT5	5.22165E+00	0	Enzyme: Galactosyltransferase	BrainSpLMD|11227;Eurexp|euxassay_013568|mandible, maxilla, rib	OMIM|615129
WDR63	WDR63	5.21900E+00	0	Unclassified	BrainSpLMD|126820;Eurexp|euxassay_011282|choroid plexus	
MDH1B	MDH1B	5.08711E+00	3.41E-12	Enzyme: Dehydrogenase	BrainSpLMD|130752	
WDR65	WDR65	5.05639E+00	2.55E-08			
C11orf88	C11orf88	4.99398E+00	0	Unclassified	BrainSpLMD|399949	
WDR16	WDR16	4.97889E+00	3.54E-11			
TRPM3	TRPM3	4.92693E+00	0	Ion channel	BrainSpLMD|80036	OMIM|608961
SULF1	SULF1	4.82040E+00	0	Enzyme: Sulphatase	BrainSpLMD|23213	OMIM|610012
RSPH1	RSPH1	4.79178E+00	0	DNA binding protein	BrainSpLMD|89765;Eurexp|euxassay_005876|4th ventricle, choroid plexus, femur, fibula, humerus, mandible, rib, scapula, tibia, ventricular layer	OMIM|609314;HPO|89765|Autosomal recessive inheritance, Bronchiectasis, Ciliary dyskinesia, Infertility, Recurrent respiratory infections, Recurrent sinusitis, Rhinitis, Sinusitis
AKAP14	AKAP14	4.76020E+00	1.11E-15	Anchor protein	BrainSpLMD|158798	OMIM|300462
FAM183A	FAM183A	4.75255E+00	0	Unclassified		
FAM81B	FAM81B	4.75156E+00	1.09E-10	Unclassified	BrainSpLMD|153643	
CCDC11	CCDC11	4.72617E+00	8.87E-13			
DRC1	DRC1	4.67226E+00	0	Unclassified	BrainSpLMD|92749;Eurexp|euxassay_016085|choroid plexus, floor plate, floorplate	OMIM|615288;HPO|92749|Atelectasis, Autosomal recessive inheritance, Bronchiectasis, Chronic sinusitis, Ciliary dyskinesia, Recurrent otitis media, Recurrent respiratory infections, Sinusitis
FAM47E	FAM47E	4.61219E+00	5.37E-09	Unclassified	BrainSpLMD|100129583	
STPG1	STPG1	4.58077E+00	1.14E-07	Unclassified	BrainSpLMD|90529	OMIM|615826
DMKN	DMKN	4.57089E+00	0	Cytokine	BrainSpLMD|93099	OMIM|617211
MAP3K19	MAP3K19	4.54312E+00	2.49E-08	Dual specificity kinase	BrainSpLMD|80122;Eurexp|euxassay_012730|choroid invagination, choroid plexus, floor plate, floorplate, roof plate, ventricular layer	
TTC40	TTC40	4.52428E+00	5.02E-12			
TAF4B	TAF4B	4.50402E+00	2.02E-07	Transcription factor		OMIM|601689;HPO|6875|Autosomal recessive inheritance, Azoospermia, Decreased testicular size, Increased circulating gonadotropin level, Non-obstructive azoospermia, Obstructive azoospermia
RPE65	RPE65	4.49565E+00	2.99E-07	Transport/cargo protein	BrainSpLMD|6121	OMIM|180069;HPO|6121|Abnormal electroretinogram, Abnormality of neuronal migration, Abnormality of retinal pigmentation, Abnormality of the optic disc, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Aplasia/Hypoplasia of the cerebellar vermis, Attenuation of retinal blood vessels, Atypical scarring of skin, Autosomal recessive inheritance, Blindness, Cataract, Cerebellar vermis hypoplasia, Conductive hearing impairment, Decreased light- and dark-adapted electroretinogram amplitude, Encephalocele, Eye poking, Fundus atrophy, Glaucoma, Hemiplegia/hemiparesis, Hyperinsulinemia, Hypogonadism, Hypoplasia of penis, Intellectual disability, Keratoconus, Muscular hypotonia, Nyctalopia, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Photophobia, Pigmentary retinopathy, Progressive night blindness, Reduced visual acuity, Rod-cone dystrophy, Seizures, Sensorineural hearing impairment, Severe visual impairment, Wide nasal bridge
