id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
SORCS3	SORCS3	3.6465E+00	0	Cell surface receptor	BrainSpLMD|22986;Eurexp|euxassay_013842|mantle layer, marginal layer	OMIM|606285
PROX1	PROX1	3.4825E+00	0	Transcription factor	BrainSpLMD|5629;Eurexp|euxassay_004159|cardiovascular system, lens, liver, mantle layer, marginal layer, mesenchyme, pancreas, ventricle, ventricular layer;BrainSpMouseDev|18893	OMIM|601546
CALB2	CALB2	3.4556E+00	0	Calcium binding protein	BrainSpLMD|794;BrainSpMouseDev|12093	OMIM|114051
SCGN	SCGN	3.3216E+00	0	Calcium binding protein	BrainSpLMD|10590;Eurexp|euxassay_002978|mantle layer, marginal layer, pancreas, pituitary	OMIM|609202
VSTM2A	VSTM2A	3.1734E+00	0	Unclassified	BrainSpLMD|222008;Eurexp|euxassay_004356|head mesenchyme, mandible, mantle layer, maxilla, mesenchyme, ventral grey horn	
NR2F2	NR2F2	3.0853E+00	0	Nuclear receptor	BrainSpLMD|7026;Eurexp|euxassay_018442|cortex, ductus deferens, extrinsic ocular muscle, incisor, lip, lung, mantle layer, metanephros, metatarsus, molar, oesophagus, stomach, submandibular gland primordium, tongue, trachea, trigeminal V, turbinate bones, ventricular layer, vestibulocochlear VIII, vibrissa;BrainSpMouseDev|11606	OMIM|107773;HPO|7026|Aortic valve stenosis, Atrioventricular canal defect, Autosomal dominant inheritance, Coarctation of aorta, Hypoplastic left heart, Tetralogy of Fallot, Ventricular septal defect
NR2F2.AS1	NR2F2.AS1	3.0279E+00	0			
NRIP3	NRIP3	2.9756E+00	0	Unclassified	BrainSpLMD|56675;Eurexp|euxassay_008471|brachial plexus, dorsal root ganglion, facial VII, lumbo-sacral plexus, mantle layer, marginal layer, mesenchyme, olfactory, rib, submandibular gland primordium, tongue, trigeminal V, ureter, vibrissa;BrainSpMouseDev|54433	OMIM|613125
WNT5A	WNT5A	2.9040E+00	0	Ligand	BrainSpLMD|7474;BrainSpMouseDev|22175	OMIM|164975;HPO|7474|Anteverted nares, Autosomal dominant inheritance, Bifid distal phalanx of toe, Bifid tongue, Brachydactyly, Broad thumb, Broad toe, Clinodactyly, Clinodactyly of the 5th finger, Clitoral hypoplasia, Cryptorchidism, Curly eyelashes, Delayed eruption of teeth, Delayed skeletal maturation, Dental crowding, Depressed nasal bridge, Downslanted palpebral fissures, Downturned corners of mouth, Duplication of the distal phalanx of hand, Epicanthus, Euryblepharon, Flat face, Frontal bossing, Gingival overgrowth, Global developmental delay, Hemivertebrae, High, narrow palate, Hydronephrosis, Hypertelorism, Hypoplasia of penis, Hypoplastic labia majora, Hypoplastic labia minora, Inguinal hernia, Intellectual disability, Long eyelashes, Long palpebral fissure, Long philtrum, Macrocephaly, Macroglossia, Malar flattening, Median cleft lip and palate, Mesomelia, Micrognathia, Micromelia, Micropenis, Midface retrusion, Nevus flammeus, Open bite, Pectus excavatum, Posteriorly rotated ears, Prominent forehead, Proptosis, Radial deviation of finger, Renal duplication, Retrognathia, Right ventricular outlet obstruction, Severe short stature, Short hard palate, Short middle phalanx of the 5th finger, Short nose, Short palm, Thin upper lip vermilion, Triangular mouth, Umbilical hernia, Upslanted palpebral fissure, Wide anterior fontanel, Wide nasal bridge, Wide nose
GS1.18A18.1	GS1.18A18.1	2.8040E+00	0			
THRB	THRB	2.6309E+00	0	Nuclear receptor	BrainSpLMD|7068;Eurexp|euxassay_005806|adenohypophysis, vestibulocochlear VIII;BrainSpMouseDev|21593	OMIM|190160;HPO|7068|Abdominal distention, Abnormality of the thyroid gland, Attention deficit hyperactivity disorder, Autosomal dominant inheritance, Autosomal recessive inheritance, Coarse facial features, Constipation, Convex nasal ridge, Delayed skeletal maturation, Delayed speech and language development, Epiphyseal stippling, Feeding difficulties, Goiter, Hearing impairment, Hyperthyroidism, Hypothyroidism, Increased serum free triiodothyronine, Increased thyroid-stimulating hormone level, Jaundice, Large fontanelles, Macroglossia, Muscular hypotonia, Pectus carinatum, Proptosis, Sensorineural hearing impairment, Sleep disturbance, Small for gestational age, Sprengel anomaly, Thyroid hormone receptor defect, Umbilical hernia
KCNJ2	KCNJ2	2.3385E+00	0	Inward rectifier channel	BrainSpLMD|3759;Eurexp|euxassay_013544|mandible, maxilla, olfactory	SFARI||Autism, No category;OMIM|600681;HPO|3759|Antegonial notching of mandible, Atrial fibrillation, Autosomal dominant inheritance, Bidirectional ventricular ectopy, Blepharophimosis, Brachydactyly, Bradycardia, Broad forehead, Bulbous nose, Cleft palate, Clinodactyly of the 5th finger, Clinodactyly of the 5th toe, Delayed eruption of permanent teeth, Delayed skeletal maturation, Depressivity, Facial asymmetry, Growth abnormality, High palate, Hypertelorism, Hypoplasia of dental enamel, Hypoplasia of the maxilla, Joint laxity, Low-set ears, Malar flattening, Microcephaly, Oligodontia, Palpitations, Paroxysmal atrial fibrillation, Periodic hypokalemic paresis, Persistence of primary teeth, Preauricular pit, Prolonged QT interval, Prominent U wave, Prominent frontal sinuses, Scapular winging, Scoliosis, Short foot, Short mandibular rami, Short metacarpal, Short metatarsal, Short palm, Short palpebral fissure, Short phalanx of finger, Shortened QT interval, Slender long bone, Small hand, Syncope, Tachycardia, Thin upper lip vermilion, Toe syndactyly, Triangular face
SP8	SP8	2.2195E+00	0	Transcription factor	BrainSpLMD|221833;BrainSpMouseDev|107080	OMIM|608306
PRKCA	PRKCA	2.1688E+00	0	Serine/threonine kinase	BrainSpLMD|5578	OMIM|176960
ST8SIA5	ST8SIA5	2.0913E+00	0	Enzyme: Sialyltransferase	BrainSpLMD|29906	OMIM|607162
PDZRN3	PDZRN3	2.0797E+00	0	Unclassified	BrainSpLMD|23024;Eurexp|euxassay_000356|mantle layer	OMIM|609729
ERBB4	ERBB4	2.0683E+00	0	Receptor tyrosine kinase	BrainSpLMD|2066;Eurexp|euxassay_008088|mantle layer, marginal layer, ventricular layer;BrainSpMouseDev|13647	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600543;COSMIC||melanoma, gastric, NSCLC, Amyotrophic lateral sclerosis 19;HPO|2066|Adult onset, Amyotrophic lateral sclerosis, Anxiety, Autosomal dominant inheritance, Depressivity, Dyspnea, Emotional lability, Fatigable weakness of respiratory muscles, Fatigable weakness of swallowing muscles, Fatigue, Generalized muscle weakness, Loss of ability to walk, Muscle cramps, Neurodegeneration, Pain, Paralysis, Respiratory failure, Respiratory insufficiency due to muscle weakness, Skeletal muscle atrophy, Spasticity, Xerostomia
FAM65B	FAM65B	2.0050E+00	0			
GRIK2	GRIK2	1.8764E+00	0	Extracellular ligand gated channel	BrainSpLMD|2898;Eurexp|euxassay_008383|cerebellum, cortex, diencephalon, footplate, hindgut, medulla oblongata, midbrain, midgut, pituitary, pons, spinal cord, stomach, telencephalon, tongue, trigeminal V;BrainSpMouseDev|14582	SFARI||Autism, 3 - Suggestive evidence;OMIM|138244;HPO|2898|Autosomal recessive inheritance, Global developmental delay, Infantile onset, Intellectual disability
DLX6.AS1	DLX6.AS1	1.8452E+00	0			
FGF12	FGF12	1.7919E+00	0	Growth factor	BrainSpLMD|2257;BrainSpMouseDev|13944	OMIM|601513;HPO|2257|Absent speech, Autosomal dominant inheritance, Cerebellar atrophy, Chronic constipation, Developmental regression, Epileptic encephalopathy, Feeding difficulties, Hypsarrhythmia, Inability to walk, Limb ataxia, Multifocal epileptiform discharges, Muscular hypotonia of the trunk, Poor speech, Status epilepticus, Variable expressivity
PCDH9	PCDH9	1.7438E+00	0	Adhesion molecule	BrainSpLMD|5101;Eurexp|euxassay_014258|facial VII, mantle layer, ventricular layer, vertebral axis muscle system, vestibulocochlear VIII	SFARI||Autism, 4 - Minimal evidence;OMIM|603581
CNR1	CNR1	1.7197E+00	0	G protein coupled receptor	BrainSpLMD|1268;BrainSpMouseDev|12584	SFARI||Autism, 3 - Suggestive evidence;OMIM|114610
CELF4	CELF4	1.5446E+00	0	RNA binding protein	BrainSpLMD|56853;Eurexp|euxassay_009241|brain, dorsal root ganglion, glossopharyngeal IX, neural retina, spinal cord, trigeminal V, vagus X, vestibulocochlear VIII	SFARI||Autism, No category;OMIM|612679
KITLG	KITLG	1.4659E+00	0	Growth factor	BrainSpLMD|4254;Eurexp|euxassay_003584|dorsal root ganglion, glomeruli, mantle layer, marginal layer, naris, neural retina, olfactory, olfactory cortex, stroma, thymus primordium, trachea, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|17080	OMIM|184745;HPO|4254|Autosomal dominant inheritance, Cafe-au-lait spot, Heterochromia iridis, Hyperkeratosis, Hypopigmented skin patches, Infantile onset, Multiple lentigines, Premature graying of hair, Progressive hyperpigmentation, Sensorineural hearing impairment, White forelock
SOX2.OT	SOX2.OT	1.4467E+00	0			
PLS3	PLS3	1.4149E+00	0	Structural protein	BrainSpLMD|5358	OMIM|300131;HPO|5358|Osteopenia, Osteoporosis, Vertebral compression fractures, X-linked dominant inheritance
NRXN3	NRXN3	1.3935E+00	0	Adhesion molecule	BrainSpLMD|9369;Eurexp|euxassay_009777|bladder, collecting ducts, inner ear, mantle layer, marginal layer, neural retina, vibrissa	SFARI||Autism, 3 - Suggestive evidence;OMIM|600567
SLAIN1	SLAIN1	1.3631E+00	0	Unclassified	BrainSpLMD|122060	OMIM|610491
ZNF536	ZNF536	1.3532E+00	0	DNA binding protein	BrainSpLMD|9745;Eurexp|euxassay_015751|adrenal gland, bladder, brain, cochlea, dorsal root ganglion, forelimb, glossopharyngeal IX, hindgut, hindlimb, limb, loop, lung, mandible, medullary stroma, midgut, molar, oesophagus, olfactory, penis, pituitary, rectum, retina, spinal cord, stomach, thyroid, trigeminal V, turbinate bones, vagus X, vestibulocochlear VIII, vibrissa	
DLX1	DLX1	1.3304E+00	0	Transcription factor	BrainSpLMD|1745;Eurexp|euxassay_008426|cochlea, epithelium, footplate, handplate, incisor, inner ear, mantle layer, midgut, naso-lacrimal duct, neural retina, oesophagus, paraxial mesenchyme, retina, skeletal muscle, skeleton, stomach, utricle, vibrissa;BrainSpMouseDev|13169	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600029
